
"MU 250","01","1992","Ind","","002406","","","","Hustad, K","","","10","0","0","0",""
"MU 250","02","1993","Ind","","002406","","","","Bachman, J","","","10","0","0","0",""
"MU 250","03","1994","Ind","","002406","","","","Goymerac, A","","","10","0","0","0",""
"MU 250","04","1995","Ind","","002406","","","","Miller, M","","","10","0","0","0",""
"MU 250","05","1996","Ind","","002406","","","","Duffy, S","","","10","0","0","0",""
"MU 250 /0","06","1997","Ind","","002406","","","","","","","10","0","0","0",""
"MU 250","07","1998","Ind","","002406","","","","Spiller, W","","","10","0","0","0",""
"MU 250","08","1999","Ind","","002406","","","","Albanese, B","","","10","0","0","0",""
"MU 250","09","2000","Ind","","002406","","","","Waibel, K","","","10","0","0","0",""
"MU 250","10","2001","Ind","","002406","","","","Albanese, B","","","10","0","0","0",""
"MU 250","11","2002","Ind","","002406","","","","Spencer, B","","","10","1","0","0",""
"MU 250","12","2003","Ind","","002406","","","","Woodruff, C","","","10","0","0","0",""
"MU 250","13","2004","Ind","","002406","","","","Miller, M","","","10","0","0","0",""
"MU 250","14","2005","Ind","","002406","","","","Astaire, J","","","10","0","0","0",""
"MU 250 /0","15","2006","Ind","","002406","","","","","","","10","0","0","0",""
"MU 250","16","2007","Ind","","002406","","","","Butterfield, H","","","10","1","0","0",""
"MU 250 /0","17","2008","Ind","","002406","","","","","","","10","0","0","0",""
"MU 250","18","2009","Ind","","002406","","","","Arthur, K","","","10","0","0","0",""
"MU 250","19","2010","Ind","","002406","","","","Kramer, L","","","10","0","0","0",""
"MU 250","20","2011","Ind","","002406","","","","Miller, M","","","10","0","0","0",""
"MU 250","21","2012","Ind","","002406","","","","Galvan, J","","","10","0","0","0",""
"MU 250 /0","22","5841","Ind","","002406","","","","","","","10","0","0","0",""
"MU 250","23","2013","Ind","","002406","","","","Russell, C","","","10","0","0","0",""
"MU 250","24","2014","Ind","","002406","","","","Kreitzer, J","","","15","0","0","0",""
"MU 250","25","2015","Ind","","002406","","","","Rinzler, P","","","10","0","0","0",""
"MU 250","26","3195","Ind","","002406","","","","Lanzone, E","","","10","0","0","0",""
"MU 250","27","4355","Ind","","002406","","","","Becker, D","","","10","0","0","0",""
